Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,11.55,11.92,11.46,11.76,36500,11.146989
2015-03-16,12.63,13.16,11.08,11.55,80100,10.947936
2015-03-13,12.85,13.26,12.83,12.93,22000,12.256001
2015-03-12,13.63,13.99,12.64,12.98,50500,12.303394
2015-03-11,13.64,14.00,13.50,13.97,17000,13.241789
2015-03-10,14.09,14.32,13.35,13.67,52200,12.957427
2015-03-09,14.85,15.11,14.20,14.35,90600,13.601981
2015-03-06,14.85,15.10,14.71,14.80,109000,14.028524
2015-03-05,14.72,14.92,14.64,14.85,36700,14.075918
2015-03-04,15.01,15.12,14.57,14.80,136900,14.028524
2015-03-03,14.95,15.15,14.76,15.15,154200,14.360279
2015-03-02,14.50,14.92,14.50,14.75,106600,13.98113
2015-02-27,14.864,14.99,14.53,14.53,28700,13.772598
2015-02-26,14.97,15.00,14.80,15.00,26700,14.218099
2015-02-25,15.18,15.18,14.73,14.94,25200,14.161226
2015-02-24,14.39,15.34,14.386,15.06,40600,14.274971
2015-02-23,14.22,14.47,14.15,14.40,21600,13.649374
2015-02-20,14.20,14.39,14.168,14.23,64200,13.488236
2015-02-19,14.20,14.45,14.03,14.20,52300,13.4598
2015-02-18,14.58,14.65,14.00,14.34,109500,13.592502
2015-02-17,14.62,14.99,14.32,14.76,24400,13.990609
2015-02-13,15.44,15.52,14.51,14.52,27300,13.76312
2015-02-12,15.17,15.51,15.166,15.33,37600,14.530897
2015-02-11,14.32,15.38,14.32,15.03,107200,14.246534
2015-02-10,14.50,14.99,14.20,14.61,29300,13.848428
2015-02-09,15.52,15.52,14.40,14.40,103100,13.649374
2015-02-06,13.69,15.40,13.58,15.40,145900,14.597247
2015-02-05,13.50,13.922,13.27,13.46,50700,12.758374
2015-02-04,14.13,14.35,13.49,13.49,68100,12.78681
2015-02-03,13.38,14.97,13.05,14.65,60200,13.598189
2015-02-02,12.54,13.37,12.50,13.37,47800,12.410088
2015-01-30,12.88,12.95,12.38,12.38,52700,11.491166
2015-01-29,12.94,13.09,12.26,12.50,86500,11.602551
2015-01-28,12.57,13.13,12.57,13.07,43100,12.131627
2015-01-27,12.84,13.15,12.68,12.86,19700,11.936704
2015-01-26,13.00,13.14,12.04,12.99,56500,12.057371
2015-01-23,13.00,13.101,12.77,13.09,46600,12.150191
2015-01-22,13.00,13.09,12.82,13.00,24500,12.066653
2015-01-21,13.10,13.30,12.94,12.97,31800,12.038807
2015-01-20,12.90,13.20,12.77,13.20,19400,12.252293
2015-01-16,12.40,13.145,12.35,13.09,54100,12.150191
2015-01-15,13.44,13.44,12.37,12.40,61400,11.50973
2015-01-14,12.79,13.24,12.64,13.16,47400,12.215165
2015-01-13,13.17,14.00,12.55,12.87,89000,11.945986
2015-01-12,13.60,13.80,12.73,13.09,80100,12.150191
2015-01-09,12.96,13.81,12.75,13.57,77600,12.595729
2015-01-08,12.99,13.30,12.80,12.94,42000,12.01096
2015-01-07,13.36,13.36,12.80,12.80,41500,11.881012
2015-01-06,12.95,13.59,12.81,13.28,453400,12.32655
2015-01-05,13.22,13.41,12.50,13.02,161500,12.085217
2015-01-02,12.35,13.29,12.12,13.29,115200,12.335832
2014-12-31,12.54,12.63,12.08,12.23,195300,11.351935
2014-12-30,12.72,12.94,12.53,12.72,123700,11.806756
2014-12-29,12.68,13.16,12.65,12.87,428800,11.945986
2014-12-26,12.65,13.12,12.20,12.73,378100,11.816037
2014-12-24,12.23,12.57,11.91,12.46,167100,11.565423
2014-12-23,11.18,12.47,11.01,12.26,506900,11.379782
2014-12-22,12.00,12.73,10.55,11.06,209900,10.265937
2014-12-19,11.99,12.27,11.43,11.78,247300,10.934244
2014-12-18,12.25,12.40,11.62,11.84,146900,10.989936
2014-12-17,11.00,12.54,11.00,12.15,166700,11.277679
2014-12-16,11.82,12.25,11.13,11.69,168500,10.850705
2014-12-15,12.99,13.15,11.77,12.01,155400,11.147731
2014-12-12,13.22,13.51,12.67,12.78,102300,11.862448
2014-12-11,13.50,14.35,13.34,13.55,73300,12.577165
2014-12-10,13.60,14.10,12.99,13.53,193900,12.558601
2014-12-09,13.10,13.64,12.70,13.50,124700,12.530755
2014-12-08,14.00,14.19,12.865,13.68,83800,12.697832
2014-12-05,14.17,14.635,13.90,13.99,69200,12.985575
2014-12-04,14.35,14.71,13.74,14.24,64500,13.217626
2014-12-03,14.35,14.71,14.068,14.51,110100,13.468241
2014-12-02,13.35,14.84,13.33,14.25,56200,13.226908
2014-12-01,14.66,14.66,13.122,13.26,63000,12.307986
2014-11-28,15.90,15.95,14.60,14.60,87700,13.55178
2014-11-26,16.690001,16.754999,16.190001,16.209999,124500,15.046187
2014-11-25,16.52,16.75,16.52,16.65,68000,15.454597
2014-11-24,16.76,17.00,16.51,16.639999,178600,15.445315
2014-11-21,17.32,17.32,16.60,16.76,103400,15.5567
2014-11-20,17.110001,17.700001,16.950001,17.200001,162000,15.965111
2014-11-19,17.34,17.743,17.190001,17.190001,57800,15.955828
2014-11-18,17.139999,18.34,17.139999,17.48,167400,16.225007
2014-11-17,17.190001,17.65,17.156,17.35,61000,16.104341
2014-11-14,16.667,17.549999,16.52,17.309999,98300,16.067212
2014-11-13,17.99,18.327999,16.610001,16.700001,184800,15.501009
2014-11-12,17.870001,17.99,17.610001,17.85,98500,16.568443
2014-11-11,17.370001,17.912001,17.240999,17.879999,67400,16.596288
2014-11-10,17.35,17.639999,17.209999,17.459999,78700,16.206442
2014-11-07,17.52,17.77,16.969999,17.299999,59700,16.05793
2014-11-06,16.58,17.50,16.299999,17.35,132200,16.104341
2014-11-05,16.25,16.705999,16.10,16.65,162200,15.454597
2014-11-04,17.00,17.25,15.84,16.35,64200,15.176137
2014-11-03,16.98,17.08,16.834999,17.02,33400,15.798034
2014-10-31,17.190001,17.59,16.15,16.91,333800,15.695931
2014-10-30,17.129999,17.215,16.120001,17.00,365700,15.779469
2014-10-29,16.889999,17.50,16.889999,17.049999,149800,15.825879
2014-10-28,16.60,17.99,16.60,17.18,202500,15.946546
2014-10-27,16.219999,16.60,16.18,16.549999,88700,15.361776
2014-10-24,15.88,16.610001,15.88,16.610001,58200,15.41747
2014-10-23,16.02,16.360001,15.60,15.99,367000,14.841983
2014-10-22,16.030001,16.25,15.90,16.00,197000,14.851265
2014-10-21,15.90,16.860001,15.60,16.15,158500,14.990495
2014-10-20,15.51,16.198,15.51,15.90,74100,14.758444
2014-10-17,16.879999,17.309999,15.54,15.70,519100,14.572804
2014-10-16,15.85,16.68,15.85,16.530001,94200,15.343214
